marca,modelo,marca_processador,nome_processador,geração_processador,ram_gb,tipo_ram,ssd,hdd,sistema_operacional,arquitetura_sistema,placa_grafica_gb,peso,tamanho_tela,garantia,tela_touch,microsoft_office,preco_atual,preco_antigo,desconto,classificacao,avaliacoes,comentarios,preco_atual_real,preco_antigo_real
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,14.2,1,No,No,225990,239900,5,4.8,42,8,13333.41,14154.099999999999
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,16.2,1,No,No,243990,259900,6,4.8,42,8,14395.41,15334.099999999999
APPLE,MacBook,M1,M1,10th,32 GB GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,16.2,1,No,No,309990,329900,6,5.0,3,1,18289.41,19464.1
APPLE,MacBook,M1,M1,10th,16 GB GB,DDR4,1024 GB,0 GB,Mac,64-bit,0,Casual,14.2,1,No,No,225990,239900,5,4.8,42,8,13333.41,14154.099999999999
DELL,G7,Intel,GeForce RTX,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,8,Casual,15.6,0,No,No,179990,227250,20,4.5,17,2,10619.41,13407.75
acer,Missing,Intel,Genuine Windows,10th,4 GB GB,DDR4,128 GB,0 GB,DOS,32-bit,4,Casual,Missing,0,No,No,116640,0,0,0.0,0,0,6881.759999999999,0.0
acer,Predator,Intel,Genuine Windows,10th,4 GB GB,DDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,129999,0,0,4.5,3227,693,7669.941,0.0
ASUS,ASUS,Intel,Pentium Quad,Missing,4 GB GB,LPDDR4X,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,45990,57990,20,0.0,0,0,2713.41,3421.41
iball,CompBook,Intel,Pentium Quad,Missing,4 GB GB,DDR3,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,13990,19999,30,3.8,1218,209,825.41,1179.941
ASUS,Pentium,Intel,Pentium Quad,Missing,4 GB GB,DDR4,128 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,Yes,No,58100,69500,16,0.0,0,0,3427.8999999999996,4100.5
ASUS,ASUS,Intel,Pentium Quad,Missing,8 GB GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,Yes,No,62990,78990,20,0.0,0,0,3716.41,4660.41
HP,Pentium,Intel,Pentium Quad,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,32990,36865,10,4.1,77,9,1946.4099999999999,2175.035
ASUS,VivoBook,Intel,Pentium Quad,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,33990,39990,15,4.3,6,0,2005.4099999999999,2359.41
acer,Extensa,Intel,Pentium Quad,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,30990,34990,11,4.2,465,89,1828.4099999999999,2064.41
